,Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Count,Simple_Proportion,Extended_Proportion,Other_Proportion,Too_Noisy_Proportion,Follow,95%_Verify,99%_Verify,Prop_Verify
900,GRB150722A,GRB150722A_649916.png,1,0,4,14,19,0.053,0.0,0.211,0.737,"[2, 0, 2, 0, 2, 16]",Too_Noisy,Too_Noisy,Too_Noisy
901,GRB150724A,GRB150724A_650141.png,1,17,19,11,48,0.021,0.354,0.396,0.229,"[16, 7, 26, 0, 2, 13]",Extended,None,None
902,GRB150727A,GRB150727A_650530.png,14,29,2,3,48,0.292,0.604,0.042,0.062,"[4, 39, 10, 0, 0, 3]",Extended,Extended,None
903,GRB150728A,GRB150728A_650617.png,12,0,0,0,12,1.0,0.0,0.0,0.0,"[8, 1, 1, 0, 2, 2]",Simple,Simple,Simple
904,GRB150801B,GRB150801B_650977.png,10,19,13,6,48,0.208,0.396,0.271,0.125,"[25, 6, 18, 0, 1, 8]",Extended,None,None
905,GRB150811A,GRB150811A_651882.png,8,19,14,9,50,0.16,0.38,0.28,0.18,"[3, 24, 13, 0, 5, 16]",Extended,None,None
906,GRB150817A,GRB150817A_652334.png,4,4,13,1,22,0.182,0.182,0.591,0.045,"[10, 6, 18, 0, 0, 1]",Other,None,None
907,GRB150818A,GRB150818A_652603.png,13,24,2,1,40,0.325,0.6,0.05,0.025,"[7, 27, 4, 0, 1, 2]",Extended,Extended,None
908,GRB150819A,GRB150819A_652643.png,2,1,3,14,20,0.1,0.05,0.15,0.7,"[2, 1, 2, 0, 0, 15]",Too_Noisy,Too_Noisy,Too_Noisy
909,GRB150821A,GRB150821A_652847.png,5,17,5,3,30,0.167,0.567,0.167,0.1,"[6, 12, 14, 0, 3, 6]",Extended,Extended,None
910,GRB150831A,GRB150831A_653838.png,11,1,0,0,12,0.917,0.083,0.0,0.0,"[9, 2, 0, 0, 1, 1]",Simple,Simple,Simple
911,GRB150831B,GRB150831B_653978.png,27,13,5,4,49,0.551,0.265,0.102,0.082,"[20, 15, 10, 0, 2, 7]",None,None,None
912,GRB150901A,GRB150901A_654042.png,6,2,16,31,55,0.109,0.036,0.291,0.564,"[8, 4, 11, 0, 2, 37]",Too_Noisy,Too_Noisy,None
913,GRB150907B,GRB150907B_654803.png,7,15,2,3,27,0.259,0.556,0.074,0.111,"[2, 17, 9, 0, 1, 4]",Extended,Extended,None
914,GRB150910A,GRB150910A_655097.png,2,3,15,25,45,0.044,0.067,0.333,0.556,"[3, 5, 12, 0, 4, 30]",Too_Noisy,Too_Noisy,None
915,GRB150911A,GRB150911A_655262.png,11,0,0,0,11,1.0,0.0,0.0,0.0,"[10, 1, 0, 0, 0, 0]",Simple,Simple,Simple
916,GRB150915A,GRB150915A_655721.png,0,0,1,17,18,0.0,0.0,0.056,0.944,"[1, 0, 0, 0, 0, 17]",Too_Noisy,Too_Noisy,Too_Noisy
917,GRB150925A,GRB150925A_656604.png,7,18,7,16,48,0.146,0.375,0.146,0.333,"[2, 20, 13, 0, 2, 18]",Extended,None,None
918,GRB151001A,GRB151001A_657286.png,24,8,11,6,49,0.49,0.163,0.224,0.122,"[23, 7, 12, 0, 6, 12]",None,None,None
919,GRB151001B,GRB151001B_657321.png,1,0,0,11,12,0.083,0.0,0.0,0.917,"[1, 0, 0, 0, 0, 11]",Too_Noisy,Too_Noisy,Too_Noisy
920,GRB151004A,GRB151004A_657564.png,1,1,5,15,22,0.045,0.045,0.227,0.682,"[3, 0, 3, 0, 0, 17]",Too_Noisy,Too_Noisy,None
921,GRB151006A,GRB151006A_657750.png,19,31,4,4,58,0.328,0.534,0.069,0.069,"[6, 46, 10, 0, 0, 4]",Extended,Extended,None
922,GRB151021A,GRB151021A_660671.png,18,20,10,1,49,0.367,0.408,0.204,0.02,"[8, 33, 17, 0, 2, 3]",Extended,None,None
923,GRB151022A,GRB151022A_661036.png,4,10,10,25,49,0.082,0.204,0.204,0.51,"[10, 7, 7, 0, 3, 29]",Too_Noisy,Too_Noisy,None
924,GRB151023A,GRB151023A_661253.png,22,12,8,3,45,0.489,0.267,0.178,0.067,"[11, 28, 6, 0, 1, 4]",None,None,None
